doi_r,title_r,doi_o,title_o,set,label,mo_titles,mo_dois,old_key,old_model,mo_key,error,new_keys,new_reasoning,result
10.1111/j.1469-8986.2005.00367.x,The latent state‐trait structure of resting EEG asymmetry: Replication and extension,10.1037/0022-3514.82.4.619,Does resting electroencephalograph asymmetry reflect a trait? An application of latent state-trait theory.,control,agrees_with_mo,['Does resting EEG asymmetry reflect a trait? An application of latent state-trait theory'],['10.1037/0022-3514.82.4.619'],@hagemann2002,gpt-5.6-luna,,,[],"The abstract explicitly claims replication of prior findings but names no target, so the existence of a target is supported while matching it to a listed record is not.",declines
10.1017/s1355617722000698,Lower prospective memory is associated with higher neurocognitive dispersion in two samples of people with HIV: A conceptual replication study,10.1080/13803395.2018.1432571,Intraindividual variability in neurocognitive performance is associated with time-based prospective memory in older adults,control,agrees_with_mo,['Intraindividual variability in neurocognitive performance is associated with time-based prospective memory in older adults'],['10.1080/13803395.2018.1432571'],@sullivan2018,gpt-5.6-luna,@sullivan2018,,[],"The abstract identifies a conceptual replication extending prior work in healthy adults, but it does not name that work, and the listed related studies cannot be distinguished as the specific target from the supplied evidence.",declines
10.1007/s10071-019-01254-5,"Developmental history, energetic state and choice impulsivity in European starlings, Sturnus vulgaris",10.1098/rspb.2014.2140,Developmental telomere attrition predicts impulsive decision-making in adult starlings,control,agrees_with_mo,"['Developmental telomere attrition predicts impulsive decision-making in adult starlings', 'Developmental telomere attrition predicts impulsive decision-making in adult starlings']","['10.1098/rspb.2014.2140', '10.1098/rspb.2014.2140']",@bateson2014,gpt-5.6-luna,@bateson2014,,['@bateson2014'],"The abstract explicitly identifies and re-tests the prior starling impulsivity study, while the other listed works are not identified as findings this paper re-tests.",same as old
10.1097/md.0000000000011865,Contributions of rare coding variants in hypotension syndrome genes to population blood pressure variation,10.1038/ng.118,Rare independent mutations in renal salt handling genes contribute to blood pressure variation,control,agrees_with_mo,['Rare independent mutations in renal salt handling genes contribute to blood pressure variation'],['10.1038/ng.118'],@ji2008,gpt-5.6-luna,@ji2008,,['@ji2008'],The paper explicitly says it re-tests Ji et al.’s analyses and findings; the other cited works are not identified as findings this paper re-tests.,same as old
10.1044/2023_jslhr-22-00694,Crowdsourced Perceptual Ratings of Voice Quality in People With Parkinson's Disease Before and After Intensive Voice and Articulation Therapies: Secondary Outcome of a Randomized Controlled Trial,10.1016/j.jvoice.2022.03.014,The Acoustic Voice Quality Index (AVQI) in People with Parkinson's Disease Before and After Intensive Voice and Articulation Therapies: Secondary Outcome of a Randomized Controlled Trial,control,agrees_with_mo,"[""The Acoustic Voice Quality Index (AVQI) in people with Parkinson's disease before and after intensive voice and articulation therapies: Secondary outcome of a randomized controlled trial""]",['10.1016/j.jvoice.2022.03.014'],@moyagal2022,gpt-5.6-luna,@moyagal2022,,['@moyagal2022'],The abstract explicitly identifies Moya-Galé et al. (2022) as the study being re-tested; the other listed works are not identified as replication targets in the supplied text.,same as old
10.1352/0895-8017(2007)112[40:eomiof]2.0.co;2,Effect of “Missing” Information on Fast Mapping by Individuals With Vocabulary Limitations Associated With Intellectual Disability,10.1017/s0305000902005469,The effect of ‘missing’ information on children's retention of fast-mapped labels,control,agrees_with_mo,"[""The effect of ''missing'' information on children's retention of fast mapped labels""]",['10.1017/s0305000902005469'],@wilkinson2003b,gpt-5.6-luna,@wilkinson2003b,,['@wilkinson2003b'],"The abstract explicitly identifies a direct replication, and the reference list contains a uniquely matching study on the effect of missing information; other cited works are not identified as being re-tested.",same as old
10.1111/j.1467-7687.2008.00781.x,The relative salience of discrete and continuous quantity in young infants,10.1111/1467-9280.00177,Number Versus Contour Length in Infants' Discrimination of Small Visual Sets,control,agrees_with_mo,"[""Number versus contour length in infants' discrimination of small visual sets""]",['10.1111/1467-9280.00177'],@clearfield1999,gpt-5.6-luna,@clearfield1999,,['@clearfield1999'],The paper explicitly says Experiment 1 attempts to replicate Clearfield and Mix (1999); the other cited studies are presented as background rather than as findings this paper re-tests.,same as old
10.1177/03010066221096987,The pairs training effect in unfamiliar face matching,10.1111/bjop.12103,Unfamiliar face matching: Pairs out‐perform individuals and provide a route to training,control,agrees_with_mo,"['Unfamiliar face matching: Pairs out-perform individuals and provide a route to training', 'Unfamiliar face matching: Pairs out-perform individuals and provide a route to training']","['10.1111/bjop.12103', '10.1111/bjop.12103']",@dowsett2014,gpt-5.6-luna,,,['@dowsett2014'],"The paper says it replicates the pairs training effect, which matches Dowsett et al. (2014); the other listed works are not identified as findings this paper re-tests.",same as old
10.1177/1747021819895472,Testing the interhemispheric deficit theory of dyslexia using the visual half-field technique,10.1016/j.bandl.2007.04.009,Interhemispheric cooperation and non-cooperation during word recognition: Evidence for callosal transfer dysfunction in dyslexic adults,control,agrees_with_mo,"['Interhemispheric cooperation and non-cooperation during word recognition: Evidence for callosal transfer dysfunction in dyslexic adults', 'Interhemispheric cooperation and non-cooperation during word recognition: Evidence for callosal transfer dysfunction in dyslexic adults']","['10.1016/j.bandl.2007.04.009', '10.1016/j.bandl.2007.04.009']",@henderson2007,gpt-5.6-luna,@henderson2007,,['@henderson2007'],Henderson et al. is the only work explicitly identified as the source of findings this paper set out to replicate; the other cited works provide background or context.,same as old
10.1177/0363546520946056,Bifactor Model of the Sport Concussion Assessment Tool Symptom Checklist: Replication and Invariance Across Time in the CARE Consortium Sample,10.1017/s1355617718000462,Modeling the Structure of Acute Sport-Related Concussion Symptoms: A Bifactor Approach,control,agrees_with_mo,['Modeling the structure of acute sport-related concussion symptoms: a bifactor approach'],['10.1017/s1355617718000462'],@nelson2018,gpt-5.6-luna,@nelson2018,,['@nelson2018'],"The abstract explicitly says it is replicating prior bifactor findings, and Nelson et al. (2018) is the listed record that matches that specific finding; other citations provide background or methods rather than a finding this paper re-tests.",same as old
10.1155/2023/8898498,Delay Discounting and the Income-Food Insecurity-Obesity Paradox in Mothers,10.3945/ajcn.113.079772,"No food for thought: moderating effects of delay discounting and future time perspective on the relation between income and food insecurity , , ,",control,agrees_with_mo,['No food for thought: moderating effects of delay discounting and future time perspective on the relation between income and food insecurity'],['10.3945/ajcn.113.079772'],@epstein2014,gpt-5.6-luna,@epstein2014,,['@epstein2014'],"The stated replication aim matches Epstein et al. (2014), whose listed title identifies the income–food insecurity moderation finding; the other cited works are not identified as findings this paper re-tests.",same as old
10.1177/1745691616652873,A Multilab Preregistered Replication of the Ego-Depletion Effect,10.1177/0956797614526415,Methylphenidate Blocks Effort-Induced Depletion of Regulatory Control in Healthy Volunteers,control,agrees_with_mo,"['Methylphenidate Blocks Effort-Induced Depletion of Regulatory Control in Healthy Volunteers', 'Methylphenidate Blocks Effort-Induced Depletion of Regulatory Control in Healthy Volunteers', 'Methylphenidate Blocks Effort-Induced Depletion of Regulatory Control in Healthy Volunteers', 'Methylphenidate Blocks Effort-Induced Depletion of Regulatory Control in Healthy Volunteers', 'Methylphenidate Blocks Effort-Induced Depletion of Regulatory Control in Healthy Volunteers', 'Methylphenidate Blocks Effort-Induced Depletion of Regulatory Control in Healthy Volunteers', 'Methylphenidate Blocks Effort-Induced Depletion of Regulatory Control in Healthy Volunteers', 'Methylphenidate Blocks Effort-Induced Depletion of Regulatory Control in Healthy Volunteers', 'Methylphenidate Blocks Effort-Induced Depletion of Regulatory Control in Healthy Volunteers', 'Methylphenidate Blocks Effort-Induced Depletion of Regulatory Control in Healthy Volunteers', 'Methylphenidate Blocks Effort-Induced Depletion of Regulatory Control in Healthy Volunteers', 'Methylphenidate Blocks Effort-Induced Depletion of Regulatory Control in Healthy Volunteers', 'Methylphenidate Blocks Effort-Induced Depletion of Regulatory Control in Healthy Volunteers', 'Methylphenidate Blocks Effort-Induced Depletion of Regulatory Control in Healthy Volunteers', 'Methylphenidate Blocks Effort-Induced Depletion of Regulatory Control in Healthy Volunteers', 'Methylphenidate Blocks Effort-Induced Depletion of Regulatory Control in Healthy Volunteers', 'Methylphenidate Blocks Effort-Induced Depletion of Regulatory Control in Healthy Volunteers', 'Methylphenidate Blocks Effort-Induced Depletion of Regulatory Control in Healthy Volunteers', 'Methylphenidate Blocks Effort-Induced Depletion of Regulatory Control in Healthy Volunteers', 'Methylphenidate Blocks Effort-Induced Depletion of Regulatory Control in Healthy Volunteers', 'Methylphenidate Blocks Effort-Induced Depletion of Regulatory Control in Healthy Volunteers', 'Methylphenidate Blocks Effort-Induced Depletion of Regulatory Control in Healthy Volunteers', 'Methylphenidate Blocks Effort-Induced Depletion of Regulatory Control in Healthy Volunteers', 'Methylphenidate Blocks Effort-Induced Depletion of Regulatory Control in Healthy Volunteers']","['10.1177/0956797614526415', '10.1177/0956797614526415', '10.1177/0956797614526415', '10.1177/0956797614526415', '10.1177/0956797614526415', '10.1177/0956797614526415', '10.1177/0956797614526415', '10.1177/0956797614526415', '10.1177/0956797614526415', '10.1177/0956797614526415', '10.1177/0956797614526415', '10.1177/0956797614526415', '10.1177/0956797614526415', '10.1177/0956797614526415', '10.1177/0956797614526415', '10.1177/0956797614526415', '10.1177/0956797614526415', '10.1177/0956797614526415', '10.1177/0956797614526415', '10.1177/0956797614526415', '10.1177/0956797614526415', '10.1177/0956797614526415', '10.1177/0956797614526415', '10.1177/0956797614526415']",@sripada2014,gpt-5.4-mini,@sripada2014,,['@sripada2014'],"The paper identifies its replicated protocol as based on Sripada et al.; the other cited works are presented as background, meta-analyses, or related research rather than as findings re-tested here.",same as old
10.1371/journal.pone.0165665,Next-Generation Sequencing and In Vitro Expression Study of ADAMTS13 Single Nucleotide Variants in Deep Vein Thrombosis,10.1111/jth.12291,"Next‐generation sequencing study finds an excess of rare, coding single‐nucleotide variants of ADAMTS13 in patients with deep vein thrombosis",control,agrees_with_mo,"['Next-generation sequencing study finds an excess of rare, coding single-nucleotide variants of ADAMTS13 in patients with deep vein thrombosis']",['10.1111/jth.12291'],@lotta2013,gpt-5.6-luna,,,['@lotta2013'],"The paper explicitly tests the previously reported DVT burden-test association, which matches Lotta et al. (2013); other cited works are not identified as findings being re-tested.",same as old
10.1016/j.ynirp.2023.100157,Machine learning classification of chronic traumatic brain injury using diffusion tensor imaging and NODDI: A replication and extension study,10.1089/neu.2016.4526,Detection of Mild Traumatic Brain Injury by Machine Learning Classification Using Resting State Functional Network Connectivity and Fractional Anisotropy,control,agrees_with_mo,['Detection of mild traumatic brain injury by machine learning classification using resting state functional network connectivity and fractional anisotropy'],['10.1089/neu.2016.4526'],@vergara2016,gpt-5.6-luna,@vergara2016,,['@vergara2016'],"The paper explicitly re-tests its prior FA-based SVM classification work, which matches the listed Vergara et al. study; the other cited works are not identified as findings re-tested.",same as old
10.1186/1744-9081-6-1,"Owner reports of attention, activity, and impulsivity in dogs: a replication study",10.1016/j.applanim.2006.03.017,Measuring attention deficit and activity in dogs: A new application and validation of a human ADHD questionnaire,control,agrees_with_mo,['Measuring attention deficit and activity in dogs: a new application and validation of a human ADHD questionnaire'],['10.1016/j.applanim.2006.03.017'],@vas2006,gpt-5.4-mini,@vas2006,,['@vas2006'],"The paper explicitly tests whether prior questionnaire findings hold in a novel sample, and the listed Vas et al. study is the matching prior dog-questionnaire validation.",same as old
10.1111/j.1468-1331.2012.03879.x,Association of <scp>C</scp>hr17q25 with cerebral white matter hyperintensities and cognitive impairment: the <scp>J</scp>‐<scp>SHIPP</scp> study,10.1002/ana.22403,Genome‐wide association studies of cerebral white matter lesion burden,control,agrees_with_mo,['Genome-wide association studies of cerebral white matter lesion burden: the CHARGE consortium'],['10.1002/ana.22403'],@fornage2011,gpt-5.6-luna,,,['@fornage2011'],The paper describes testing the Chr17q25 white-matter-hyperintensity finding from the cited genome-wide association study; the other listed works are not stated to be re-tested.,same as old
10.1371/journal.pone.0237829,Failure to modulate reward prediction errors in declarative learning with theta (6 Hz) frequency transcranial alternating current stimulation,10.1371/journal.pone.0189212,Signed reward prediction errors drive declarative learning,control,agrees_with_mo,['Signed reward prediction errors drive declarative learning'],['10.1371/journal.pone.0189212'],@loof2018,gpt-5.6-luna,@loof2018,,['@loof2018'],"The paper explicitly re-tests its previous signed-RPE declarative-learning finding, while the other cited works are not identified as findings this paper re-tests.",same as old
10.3389/fpsyg.2021.711173,A Multilevel Person-Centered Examination of Teachers' Workplace Experiences: Replication and Extension With Links to Instructional Support and Achievement,10.3389/fpsyg.2020.00626,A Multilevel Person-Centered Examination of Teachers’ Workplace Demands and Resources: Links With Work-Related Well-Being,control,agrees_with_mo,"[""A multilevel person-centered examination of teachers' workplace demands and resources: links with work-related well-being""]",['10.3389/fpsyg.2020.00626'],@collie2020,gpt-5.4-mini,@collie2020,,['@collie2020'],"The title and replication framing align with Collie et al. (2020) on teachers’ workplace demands and resources, while the other listed works are not identified as the study being re-tested.",same as old
10.1001/archneurol.2011.155,"Association and Expression Analyses With Single-Nucleotide Polymorphisms in &lt;emph type=""ital""&gt;TOMM40&lt;/emph&gt; in Alzheimer Disease",10.1038/tpj.2009.69,A TOMM40 variable-length polymorphism predicts the age of late-onset Alzheimer's disease,control,agrees_with_mo,"[""A TOMM40 variable-length polymorphism predicts the age of late-onset Alzheimer's disease"", ""A TOMM40 variable-length polymorphism predicts the age of late-onset Alzheimer's disease""]","['10.1038/tpj.2009.69', '10.1038/tpj.2009.69']",@roses2009,gpt-5.6-luna,@roses2009,,['@roses2009'],"The abstract explicitly identifies the APOE 3-TOMM40 association as the replication target, which matches the listed Roses et al. paper; the other cited works are not identified as findings this paper re-tests.",same as old
10.3389/fpsyg.2016.00396,Guessing versus Choosing an Upcoming Task,10.1016/j.actpsy.2015.05.006,Incorrect predictions reduce switch costs,control,agrees_with_mo,['Incorrect predictions reduce switch costs'],['10.1016/j.actpsy.2015.05.006'],@kleinsorge2015,gpt-5.6-luna,@kleinsorge2015,,['@kleinsorge2015'],"The abstract explicitly reports replicating the incorrect-guess switch-cost reduction, which matches Kleinsorge and Scheil’s listed study; other cited works are not identified as findings this paper re-tests.",same as old
10.1038/s41398-021-01558-6,"Association between cytomegalovirus infection, reduced gray matter volume, and resting-state functional hypoconnectivity in major depressive disorder: a replication and extension",10.1038/s41380-020-00932-y,A hidden menace? Cytomegalovirus infection is associated with reduced cortical gray matter volume in major depressive disorder,control,agrees_with_mo,['A hidden menace? Cytomegalovirus infection is associated with reduced cortical gray matter volume in major depressive disorder'],['10.1038/s41380-020-00932-y'],@zheng2020,gpt-5.6-luna,@zheng2020,,['@zheng2020'],"The paper explicitly re-tests the prior HCMV-associated GMV finding, which matches Zheng et al. (2020); its other cited works are not identified as findings this paper re-tests.",same as old
10.1371/journal.pbio.0030315,Lack of Support for the Association between GAD2 Polymorphisms and Severe Human Obesity,10.1371/journal.pbio.0000068,GAD2 on Chromosome 10p12 Is a Candidate Gene for Human Obesity,control,agrees_with_mo,['GAD2 on chromosome 10p12 is a candidate gene for human obesity'],['10.1371/journal.pbio.0000068'],@boutin2003,gpt-5.6-luna,@boutin2003,,['@boutin2003'],"The paper explicitly attempts to replicate the earlier GAD2-obesity association, which uniquely matches Boutin et al. (2003) in the supplied references; other cited works are not identified as findings re-tested here.",same as old
10.1093/scan/nsae088,"Investigating trajectories linking social cognitive capacity, bias, and social isolation using computational modeling",10.1016/j.jrp.2021.104103,"Owner of a lonely mind? Social cognitive capacity is associated with objective, but not perceived social isolation in healthy individuals",control,agrees_with_mo,"['Owner of a lonely mind? Social cognitive capacity is associated with objective, but not perceived social isolation in healthy individuals']",['10.1016/j.jrp.2021.104103'],@okruszek2021,gpt-5.6-luna,@okruszek2021,,['@okruszek2021'],"The abstract explicitly says the earlier findings were replicated, and the described prior result matches Okruszek et al. (2021); the other cited works are not presented as findings this paper re-tests.",same as old
10.1080/19439342.2019.1684343,"Mobile money, risk sharing, and transaction costs: a replication study of evidence from Kenya’s mobile money revolution",10.1257/aer.104.1.183,Risk Sharing and Transactions Costs: Evidence from Kenya's Mobile Money Revolution,control,agrees_with_mo,"[""Risk Sharing and Transactions Costs: Evidence from Kenya's Mobile Money Revolution""]",['10.1257/aer.104.1.183'],@jack2013,gpt-5.4-mini,@jack2013,,['@jack2013'],The paper explicitly re-examines Jack and Suri’s cited study; the other listed works are not identified as findings this paper re-tests.,same as old
10.1176/ajp.154.4.551,Reduced morbidity after gradual discontinuation of lithium treatment for bipolar I and II disorders: a replication study,10.1001/archpsyc.1993.01820180046005,Outcome After Rapid vs Gradual Discontinuation of Lithium Treatment in Bipolar Disorders,control,agrees_with_mo,['Outcome after rapid vs gradual discontinuation of lithium treatment in bipolar mood disorders'],['10.1001/archpsyc.1993.01820180046005'],@faedda1993,gpt-5.4-mini,@faedda1993,,[],"The abstract identifies the finding being verified but names no original study, so the cited works cannot be distinguished as the target rather than background.",declines
10.1136/jmg.35.12.1034,The butyrylcholinesterase K variant and susceptibility to Alzheimer's disease.,10.1093/hmg/6.11.1933,Synergy Between the Genes for Butyrylcholinesterase K Variant and Apolipoprotein E4 in Late-Onset Confirmed Alzheimer's Disease,control,agrees_with_mo,"[""Synergy between the genes for butyrylcholinesterase K variant and apolipoprotein E4 in late-onset confirmed Alzheimer's disease""]",['10.1093/hmg/6.11.1933'],@lehmann1997,gpt-5.6-luna,@lehmann1997,,['@lehmann1997'],"The abstract says it re-tests the previously reported BCHE-K/ApoE4 association and interaction, matching Lehmann et al.'s cited synergy finding; the other cited works are not stated to be re-tested.",same as old
10.1007/s00439-011-0972-2,Identification of QTL genes for BMD variation using both linkage and gene-based association approaches,10.1359/jbmr.061015,Large-Scale Genome-Wide Linkage Analysis for Loci Linked to BMD at Different Skeletal Sites in Extreme Selected Sibships,control,agrees_with_mo,"['Largescale genome-wide linkage analysis for loci linked to BMD at different skeletal sites in extreme selected sibships', 'Largescale genome-wide linkage analysis for loci linked to BMD at different skeletal sites in extreme selected sibships', 'Largescale genome-wide linkage analysis for loci linked to BMD at different skeletal sites in extreme selected sibships', 'Largescale genome-wide linkage analysis for loci linked to BMD at different skeletal sites in extreme selected sibships']","['10.1359/jbmr.061015', '10.1359/jbmr.061015', '10.1359/jbmr.061015', '10.1359/jbmr.061015']",@hsu2006,gpt-5.6-luna,,,['@hsu2006'],"The paper explicitly re-tests the four QTL from the prior Northern Chinese linkage study, which matches Hsu et al. (2006); the other cited works are background or relate to subsequent gene-based associations rather than the four-QTL replication.",same as old
10.3109/14659891.2014.980862,Psychometric properties of a single-item assessing drunkenness to identify hazardous drinking: a replication study,10.3109/00952990.2013.810745,Validating the ability of a single-item assessing drunkenness to detect hazardous drinking,control,agrees_with_mo,['Validating the ability of a single-item assessing drunkenness to detect hazardous drinking'],['10.3109/00952990.2013.810745'],@barry2013b,gpt-5.4-mini,@barry2013b,,['@barry2013b'],"The abstract says it replicates prior work validating the drunkenness item for detecting hazardous alcohol use, which matches Barry et al. (2013); the other cited work is not identified as the finding being retested.",same as old
10.1126/sciadv.aaz0652,The limits of human predictions of recidivism,10.1126/sciadv.aao5580,"The accuracy, fairness, and limits of predicting recidivism",control,agrees_with_mo,"['The accuracy, fairness, and limits of predicting recidivism']",['10.1126/sciadv.aao5580'],@dressel2018,gpt-5.6-luna,@dressel2018,,['@dressel2018'],The abstract explicitly says it replicates Dressel and Farid’s experiment; the other cited works are not identified as findings re-tested by this paper.,same as old
10.1177/0886260518814267,Does Gottman’s Marital Communication Conceptualization Inform Teen Dating Violence? Communication Skill Deficits Analyzed Across Three Samples of Diverse Adolescents,10.1007/s10896-010-9305-9,Self-Reported Communication Variables and Dating Violence: Using Gottman’s Marital Communication Conceptualization,control,agrees_with_mo,"[""Self-reported communication variables and dating violence: Using Gottman's marital communication conceptualization""]",['10.1007/s10896-010-9305-9'],@cornelius2010,gpt-5.6-luna,@cornelius2010,,['@cornelius2010'],"The paper explicitly says it replicates the preliminary study using Gottman’s conceptualization, which matches Cornelius et al. (2010); other cited works are not identified as studies whose findings this paper retests.",same as old
10.1097/opx.0b013e318188891b,Clinical Value of the VMI Supplemental Tests: A Modified Replication Study,10.1097/00006324-200304000-00009,Clinical Value of the Beery Visual-Motor Integration Supplemental Tests of Visual Perception and Motor Coordination,control,agrees_with_mo,['Clinical value of the Beery visual-motor integration supplemental tests of visual perception and motor coordination'],['10.1097/00006324-200304000-00009'],@kulp2003,gpt-5.6-luna,@kulp2003,,['@kulp2003'],The paper explicitly says it is a modified replication of Kulp and Sortor's study; the other listed works are not identified as findings this paper re-tests.,same as old
10.1371/journal.pone.0287837,Did people really drink bleach to prevent COVID-19? A guide for protecting survey data against problematic respondents,10.15585/mmwr.mm6923e2,"Knowledge and Practices Regarding Safe Household Cleaning and Disinfection for COVID-19 Prevention — United States, May 2020",control,agrees_with_mo,['Knowledge and practices regarding safe household cleaning and disinfection for COVID-19 prevention-United States'],['10.15585/mmwr.mm6923e2'],@gharpure2020,gpt-5.6-luna,@gharpure2020,,['@gharpure2020'],"The abstract explicitly says it attempts to replicate the CDC's reported household-cleaning practices, which match Gharpure et al.'s CDC survey; the other cited works are not identified as findings this paper re-tests.",same as old
10.1177/026765838900500103,Parameters in L2 learning: Flynn revisited,10.1111/j.1467-1770.1968.tb01311.x,Contrast and Construction in a Parameter‐Setting Model of L2 Acquisition,control,agrees_with_mo,['Contrast and construction in a Parameter-Setting model of L2 acquisition'],['10.1111/j.1467-1770.1968.tb01311.x'],@flynn1987,gpt-5.6-luna,,,['@flynn1987'],The abstract explicitly identifies Flynn (1987b) as the work whose methodology and hypotheses are replicated; the other cited works are discussed as theoretical background rather than re-tested findings.,same as old
10.1044/2018_aja-18-0082,A Follow-Up Clinical Trial Evaluating the Consumer-Decides Service Delivery Model,10.1044/2017_aja-16-0111,The Effects of Service-Delivery Model and Purchase Price on Hearing-Aid Outcomes in Older Adults: A Randomized Double-Blind Placebo-Controlled Clinical Trial,control,agrees_with_mo,['The effects of service-delivery model and purchase price on hearing-aid outcomes in older adults: A randomized double-blind placebo-controlled clinical trial'],['10.1044/2017_aja-16-0111'],@humes2017,gpt-5.6-luna,@humes2017,,['@humes2017'],"The paper explicitly says it replicates a prior consumer-decides clinical trial, which matches the cited Humes et al. (2017) trial; other cited works are not presented as findings this paper re-tests.",same as old
10.1523/eneuro.0430-21.2022,Custom-Built Operant Conditioning Setup for Calcium Imaging and Cognitive Testing in Freely Moving Mice,10.1523/eneuro.0045-21.2021,"Unique Effects of Social Defeat Stress in Adolescent Male Mice on the Netrin-1/DCC Pathway, Prefrontal Cortex Dopamine and Cognition",control,agrees_with_mo,"['Unique effects of social defeat stress in adolescent male mice on the Netrin-1/DCC pathway, prefrontal cortex dopamine and cognition (Social stress in adolescent vs. adult male mice)']",['10.1523/eneuro.0045-21.2021'],@vassilev2021,gpt-5.6-luna,@vassilev2021,,['@vassilev2021'],"The abstract explicitly identifies a re-test of the adolescent social-defeat inhibitory-control finding, which matches Vassilev et al. (2021); the other cited works concern background, methods, or related topics rather than findings this paper says it re-tests.",same as old
10.1093/ije/dyv127,Re-analysis of health and educational impacts of a school-based deworming programme in western Kenya: a pure replication,10.1111/j.1468-0262.2004.00481.x,Worms: Identifying Impacts on Education and Health in the Presence of Treatment Externalities,control,agrees_with_mo,"['Worms: identifying impacts on education and health in the presence of treatment externalities', 'Worms: identifying impacts on education and health in the presence of treatment externalities', 'Worms: identifying impacts on education and health in the presence of treatment externalities', 'Worms: identifying impacts on education and health in the presence of treatment externalities']","['10.1111/j.1468-0262.2004.00481.x', '10.1111/j.1468-0262.2004.00481.x', '10.1111/j.1468-0262.2004.00481.x', '10.1111/j.1468-0262.2004.00481.x']",@miguel2003,gpt-5.6-luna,@miguel2003,,['@miguel2003'],The paper directly re-analyses the original authors’ study and compares its results with the original paper; other cited works are not identified as findings this paper re-tests.,same as old
10.1002/pros.21443,Chromosomes 4 and 8 implicated in a genome wide SNP linkage scan of 762 prostate cancer families collected by the ICPCG,10.1086/432377,"A Combined Genomewide Linkage Scan of 1,233 Families for Prostate Cancer–Susceptibility Genes Conducted by the International Consortium for Prostate Cancer Genetics",control,agrees_with_mo,"['A combined genomewide linkage scan of 1,233 families for prostate cancer susceptibility genes conducted by the international consortium for prostate cancer genetics']",['10.1086/432377'],@xu2005,gpt-5.6-luna,@xu2005,,['@xu2005'],"The paper explicitly re-tests findings from the earlier 1,233-family linkage scan, which matches Xu et al. (2005); other cited works are not identified as the findings being re-tested.",same as old
10.3389/fonc.2023.1139347,Replication of genetic associations of chemotherapy-related cardiotoxicity in the adjuvant NSABP B-31 clinical trial,10.1097/fpc.0000000000000302,Genome-wide association study of cardiotoxicity in the NCCTG N9831 (Alliance) adjuvant trastuzumab trial,control,agrees_with_mo,"['Genome-wide association study of cardiotoxicity in the NCCTG N9831 (Alliance) adjuvant trastuzumab trial', 'Genome-wide association study of cardiotoxicity in the NCCTG N9831 (Alliance) adjuvant trastuzumab trial']","['10.1097/fpc.0000000000000302', '10.1097/fpc.0000000000000302']",@serie2017,gpt-5.6-luna,@serie2017,,"['@serie2017', '@norton2020']","The paper re-tests the N9831 genetic associations and reports separate outcomes for the LVEF associations and the TRPC6 heart-failure association, while other cited works provide context rather than a re-tested finding.",old + other
10.3758/s13414-020-02239-0,Selection in working memory is resource-demanding: Concurrent task effects on the retro-cue effect,10.3758/s13414-013-0615-x,Orienting attention in visual working memory requires central capacity: Decreased retro-cue effects under dual-task conditions,control,agrees_with_mo,"['Orienting attention in visual working memory requires central capacity: decreased retro-cue effects under dual-task conditions', 'Orienting attention in visual working memory requires central capacity: decreased retro-cue effects under dual-task conditions']","['10.3758/s13414-013-0615-x', '10.3758/s13414-013-0615-x']",@janczyk2014,gpt-5.6-luna,@janczyk2014,,['@janczyk2014'],"The paper explicitly says it replicated Janczyk and Berryhill’s paradigm, while the other cited works are presented as background rather than findings re-tested here.",same as old
10.1186/s41235-020-00260-3,Wielding a gun increases judgments of others as holding guns: a randomized controlled trial,10.1037/a0027881,Action alters object identification: Wielding a gun increases the bias to see guns.,control,agrees_with_mo,['Action alters object identification: Wielding a gun increases the bias to see guns'],['10.1037/a0027881'],@witt2012,gpt-5.6-luna,@witt2012,,['@witt2012'],"The paper describes a high-powered replication of the gun embodiment effect, which matches Witt and Brockmole’s listed study; other cited works are background or measures rather than findings re-tested here.",same as old
10.2466/pr0.1994.74.2.380,Attitudes toward Parents: A Direct Replication,10.2466/pr0.1993.72.3.744,College Students' Attitudes toward Relationships with Their Parents as a Function of Gender,control,agrees_with_mo,"[""College students' attitudes toward relationships with their parents as a function of gender""]",['10.2466/pr0.1993.72.3.744'],@vitulli1993,gpt-5.4-mini,@vitulli1993,,['@vitulli1993'],The replication statement and the matching parent-relationship study in the reference list identify Vitulli and Holland (1993) as the target; the other listed works are not identified as findings being retested.,same as old
10.1186/s13104-019-4590-8,Exploration of shared genetic susceptibility loci between type 1 diabetes and rheumatoid arthritis in the Pakistani population,10.1007/s00251-015-0839-0,Genetic link of type 1 diabetes susceptibility loci with rheumatoid arthritis in Pakistani patients,control,agrees_with_mo,['Genetic link of type 1 diabetes susceptibility loci with rheumatoid arthritis in Pakistani patients'],['10.1007/s00251-015-0839-0'],@kiani2015b,gpt-5.6-luna,@kiani2015b,,['@kiani2015b'],"The abstract explicitly re-tests the previously reported T1D-associated SNP findings, matching Kiani et al. (2015), while the other listed works are not identified as findings re-tested here.",same as old
10.1371/journal.pone.0175538,Absence of antibodies against KIR4.1 in multiple sclerosis: A three-technique approach and systematic review,10.1056/nejmoa1110740,Potassium Channel KIR4.1 as an Immune Target in Multiple Sclerosis,control,agrees_with_mo,['Potassium channel KIR4.1 as an immune target in multiple sclerosis'],['10.1056/nejmoa1110740'],@srivastava2012,gpt-5.6-luna,@srivastava2012,,[],"The abstract explicitly says the paper aimed to replicate the anti-KIR4.1–MS association, but it does not name the particular original study whose finding was retested, so the other cited studies are not included as targets.",declines
