doi_r,title_r,doi_o,title_o,set,label,mo_titles,mo_dois,old_key,old_model,rewrite,rewritable,renamed_keys,mo_key,error,new_keys,new_reasoning,result
10.1111/j.1752-0606.2009.00164.x,The Effectiveness of couple therapy in Germany: A Replication Study,10.1037/0893-3200.11.4.410-421,The effectiveness of marital counseling in Germany: A contribution to health services research.,control,agrees_with_mo,['The effectiveness of marital counseling in Germany: A contribution to health services research'],['10.1037/0893-3200.11.4.410-421'],@hahlweg1997,gpt-5.6-luna,exact,True,5,@hahlweg1997,,['@hahlweg1997'],The abstract explicitly says the paper replicates Hahlweg and Klann's 1997 findings; other cited works are background rather than findings this paper re-tests.,same as old
10.1101/2023.08.16.553472,Replication and Refinement of Brain Age Model for adolescent development,10.1109/embc46164.2021.9631007,Multimodal Brain Age Prediction with Feature Selection and Comparison,control,agrees_with_mo,['Multimodal brain age prediction with feature selection and comparison'],['10.1109/embc46164.2021.9631007'],@ray2021,gpt-5.6-luna,exact,True,3,@ray2021,,[],"The abstract says the paper tests the replicability of various brain-age models but does not identify which original studies it re-tests, so no specific target can be supported from the supplied evidence.",declines
10.1177/03057356211031663,Small music ensemble and empathy: A replication study in a South Korean music student sample,10.1177/0305735619887226,The relationship between small music ensemble experience and empathy skill: A survey study,control,agrees_with_mo,['The relationship between small music ensemble experience and empathy skill: A survey study'],['10.1177/0305735619887226'],@cho2019,gpt-5.6-luna,exact,True,0,@cho2019,,['@cho2019'],"The abstract explicitly says this paper replicates the initial US music-student study, which matches Cho (2019); the other cited works are not identified as findings this paper re-tests.",same as old
10.1371/journal.pone.0091690,Functional Gene Group Analysis Indicates No Role for Heterotrimeric G Proteins in Cognitive Ability,10.1016/j.ajhg.2009.12.006,Functional Gene Group Analysis Reveals a Role of Synaptic Heterotrimeric G Proteins in Cognitive Ability,control,agrees_with_mo,['Functional gene group analysis reveals a role of synaptic heterotrimeric G proteins in cognitive ability'],['10.1016/j.ajhg.2009.12.006'],@ruano2010,gpt-5.6-luna,exact,True,1,@ruano2010,,['@ruano2010'],"The abstract explicitly says it seeks to replicate the prior finding about heterotrimeric G proteins and intelligence, which matches the listed Ruano et al. study; other cited works are background or methodological references.",same as old
10.1016/j.dib.2021.107595,"Replication dataset: the effect of compassion, biological sex, and gender identity threat on jerky choice",10.1016/j.appet.2021.105654,The taste of compassion: Influencing meat attitudes with interhuman and interspecies moral appeals,control,agrees_with_mo,['The taste of compassion: influencing meat attitudes with interhuman and interspecies moral appeals'],['10.1016/j.appet.2021.105654'],@pohlmann2021,gpt-5.6-luna,exact,True,2,@pohlmann2021,,['@pohlmann2021'],The abstract explicitly says it replicates Study 1 of the named Pohlmann paper; the other cited works provide background or additional dataset measures rather than findings this paper re-tests.,same as old
10.1080/1612197x.2019.1637362,Enhanced expectancies in golf putting – a replication study with increased ecological validity,10.1016/j.psychsport.2018.10.003,Enhanced or diminished expectancies in golf putting – Which actually affects performance?,control,agrees_with_mo,['Enhanced or diminished expectancies in golf putting - which actually affects performance?'],['10.1016/j.psychsport.2018.10.003'],@ziv2018,gpt-5.4-mini,older_block,True,0,@ziv2018,,['@ziv2018'],The abstract explicitly identifies the Ziv et al. golf-putting study as the work being replicated; the other listed works are not identified as re-tested targets.,same as old
10.1590/1516-3180.2017.0015240217,Age at first childbirth and newly diagnosed diabetes among postmenopausal women: a cross-sectional analysis of the Brazilian Longitudinal Study of Adult Health (ELSA-Brasil),10.2337/dc13-1784,Impact of Age at First Childbirth on Glucose Tolerance Status in Postmenopausal Women: The 2008–2011 Korean National Health and Nutrition Examination Survey,control,agrees_with_mo,['Impact of age at first childbirth on glucose tolerance status in postmenopausal women: the 2008-2011 Korean National Health and Nutrition Examination Survey'],['10.2337/dc13-1784'],@kim2013,gpt-5.6-luna,exact,True,0,@kim2013,,['@kim2013'],"The abstract identifies one previously reported finding as the replication target, and the reference title for Kim et al. (2013) matches it; the other listed works concern cohort design or different reproductive-health and diabetes findings.",same as old
10.1159/000117595,Application of Cluster Analysis in the Classification of Depression,10.1192/bjp.118.544.275,Classification of Depressed Patients: A Cluster Analysis Derived Grouping,control,agrees_with_mo,['Classification of depressed patients: a cluster analysis derived grouping'],['10.1192/bjp.118.544.275'],@paykel1971,gpt-5.6-luna,exact,True,2,@paykel1971,,['@paykel1971'],"The paper explicitly re-tests a four-group cluster typology, which uniquely fits Paykel’s listed classification study; the other listed works are not identified as the finding being re-tested.",same as old
10.1111/j.1469-8986.2005.00367.x,The latent state‐trait structure of resting EEG asymmetry: Replication and extension,10.1037/0022-3514.82.4.619,Does resting electroencephalograph asymmetry reflect a trait? An application of latent state-trait theory.,control,agrees_with_mo,['Does resting EEG asymmetry reflect a trait? An application of latent state-trait theory'],['10.1037/0022-3514.82.4.619'],@hagemann2002,gpt-5.6-luna,exact,True,2,,,['@hagemann2002'],"The abstract explicitly says the study replicates prior trait-and-state findings, and Hagemann et al. (2002) is the uniquely matching listed study; the other cited works are not identified as findings being re-tested.",same as old
10.1017/s1355617722000698,Lower prospective memory is associated with higher neurocognitive dispersion in two samples of people with HIV: A conceptual replication study,10.1080/13803395.2018.1432571,Intraindividual variability in neurocognitive performance is associated with time-based prospective memory in older adults,control,agrees_with_mo,['Intraindividual variability in neurocognitive performance is associated with time-based prospective memory in older adults'],['10.1080/13803395.2018.1432571'],@sullivan2018,gpt-5.6-luna,exact,True,3,@sullivan2018,,['@sullivan2018'],The conceptual replication of dispersion-based neurocognitive variability and prospective memory most closely matches Sullivan et al. (2018); other cited works are not identified as the finding being re-tested.,same as old
10.1007/s10071-019-01254-5,"Developmental history, energetic state and choice impulsivity in European starlings, Sturnus vulgaris",10.1098/rspb.2014.2140,Developmental telomere attrition predicts impulsive decision-making in adult starlings,control,agrees_with_mo,"['Developmental telomere attrition predicts impulsive decision-making in adult starlings', 'Developmental telomere attrition predicts impulsive decision-making in adult starlings']","['10.1098/rspb.2014.2140', '10.1098/rspb.2014.2140']",@bateson2014,gpt-5.6-luna,exact,True,0,@bateson2014,,['@bateson2014'],"The abstract explicitly says it did not replicate the previous study’s telomere-attrition result, and the listed Bateson et al. (2014) paper uniquely matches that description; other cited works are background or methodological references.",same as old
10.1097/md.0000000000011865,Contributions of rare coding variants in hypotension syndrome genes to population blood pressure variation,10.1038/ng.118,Rare independent mutations in renal salt handling genes contribute to blood pressure variation,control,agrees_with_mo,['Rare independent mutations in renal salt handling genes contribute to blood pressure variation'],['10.1038/ng.118'],@ji2008,gpt-5.6-luna,exact,True,3,@ji2008,,['@ji2008'],"The paper explicitly re-tests Ji et al. (2008), and the other cited works are presented as background or methods rather than findings this paper re-tests.",same as old
10.1044/2023_jslhr-22-00694,Crowdsourced Perceptual Ratings of Voice Quality in People With Parkinson's Disease Before and After Intensive Voice and Articulation Therapies: Secondary Outcome of a Randomized Controlled Trial,10.1016/j.jvoice.2022.03.014,The Acoustic Voice Quality Index (AVQI) in People with Parkinson's Disease Before and After Intensive Voice and Articulation Therapies: Secondary Outcome of a Randomized Controlled Trial,control,agrees_with_mo,"[""The Acoustic Voice Quality Index (AVQI) in people with Parkinson's disease before and after intensive voice and articulation therapies: Secondary outcome of a randomized controlled trial""]",['10.1016/j.jvoice.2022.03.014'],@moyagal2022,gpt-5.6-luna,exact,True,7,@moyagal2022,,['@moyagal2022'],The abstract explicitly says the study tests and replicates the treatment-effect findings of Moya-Galé et al. (2022); other cited works are not identified as findings this paper re-tests.,same as old
10.1352/0895-8017(2007)112[40:eomiof]2.0.co;2,Effect of “Missing” Information on Fast Mapping by Individuals With Vocabulary Limitations Associated With Intellectual Disability,10.1017/s0305000902005469,The effect of ‘missing’ information on children's retention of fast-mapped labels,control,agrees_with_mo,"[""The effect of ''missing'' information on children's retention of fast mapped labels""]",['10.1017/s0305000902005469'],@wilkinson2003_2,gpt-5.6-luna,exact,True,1,@wilkinson2003_2,,['@wilkinson2003_2'],"The abstract identifies a direct replication of a preschool investigation, which matches the listed study on missing information and fast-mapped labels; the other cited works are not identified as re-tested.",same as old
10.1111/j.1467-7687.2008.00781.x,The relative salience of discrete and continuous quantity in young infants,10.1111/1467-9280.00177,Number Versus Contour Length in Infants' Discrimination of Small Visual Sets,control,agrees_with_mo,"[""Number versus contour length in infants' discrimination of small visual sets""]",['10.1111/1467-9280.00177'],@clearfield1999,gpt-5.6-luna,exact,True,3,@clearfield1999,,['@clearfield1999'],"Only Clearfield and Mix (1999) is explicitly identified as a study being replicated; Feigenson, Carey, and Spelke (2002) is cited as background rather than as a re-tested study.",same as old
10.1177/03010066221096987,The pairs training effect in unfamiliar face matching,10.1111/bjop.12103,Unfamiliar face matching: Pairs out‐perform individuals and provide a route to training,control,agrees_with_mo,"['Unfamiliar face matching: Pairs out-perform individuals and provide a route to training', 'Unfamiliar face matching: Pairs out-perform individuals and provide a route to training']","['10.1111/bjop.12103', '10.1111/bjop.12103']",@dowsett2014,gpt-5.6-luna,exact,True,3,,,['@dowsett2014'],"The abstract says it re-tests the original pairs training effect, which matches Dowsett et al. (2014); the other listed works are not identified as findings re-tested here.",same as old
10.1177/1747021819895472,Testing the interhemispheric deficit theory of dyslexia using the visual half-field technique,10.1016/j.bandl.2007.04.009,Interhemispheric cooperation and non-cooperation during word recognition: Evidence for callosal transfer dysfunction in dyslexic adults,control,agrees_with_mo,"['Interhemispheric cooperation and non-cooperation during word recognition: Evidence for callosal transfer dysfunction in dyslexic adults', 'Interhemispheric cooperation and non-cooperation during word recognition: Evidence for callosal transfer dysfunction in dyslexic adults']","['10.1016/j.bandl.2007.04.009', '10.1016/j.bandl.2007.04.009']",@henderson2007,gpt-5.6-luna,exact,True,4,@henderson2007,,['@henderson2007'],The abstract explicitly identifies Henderson et al. as the study whose bilateral-advantage finding it set out to retest; other cited works are background or methodological context.,same as old
10.1177/0363546520946056,Bifactor Model of the Sport Concussion Assessment Tool Symptom Checklist: Replication and Invariance Across Time in the CARE Consortium Sample,10.1017/s1355617718000462,Modeling the Structure of Acute Sport-Related Concussion Symptoms: A Bifactor Approach,control,agrees_with_mo,['Modeling the structure of acute sport-related concussion symptoms: a bifactor approach'],['10.1017/s1355617718000462'],@nelson2018,gpt-5.6-luna,exact,True,1,@nelson2018,,['@nelson2018'],"The abstract explicitly says it replicates prior findings of a bifactor structure, and Nelson et al. (2018) is the listed study matching that finding; other cited works are not identified as findings being re-tested.",same as old
10.1155/2023/8898498,Delay Discounting and the Income-Food Insecurity-Obesity Paradox in Mothers,10.3945/ajcn.113.079772,"No food for thought: moderating effects of delay discounting and future time perspective on the relation between income and food insecurity , , ,",control,agrees_with_mo,['No food for thought: moderating effects of delay discounting and future time perspective on the relation between income and food insecurity'],['10.3945/ajcn.113.079772'],@epstein2014,gpt-5.6-luna,exact,True,3,@epstein2014,,['@epstein2014'],"The stated replication aim matches the finding named in Epstein et al. (2014), while the other cited works are not identified as findings this paper re-tests.",same as old
10.1177/1745691616652873,A Multilab Preregistered Replication of the Ego-Depletion Effect,10.1177/0956797614526415,Methylphenidate Blocks Effort-Induced Depletion of Regulatory Control in Healthy Volunteers,control,agrees_with_mo,"['Methylphenidate Blocks Effort-Induced Depletion of Regulatory Control in Healthy Volunteers', 'Methylphenidate Blocks Effort-Induced Depletion of Regulatory Control in Healthy Volunteers', 'Methylphenidate Blocks Effort-Induced Depletion of Regulatory Control in Healthy Volunteers', 'Methylphenidate Blocks Effort-Induced Depletion of Regulatory Control in Healthy Volunteers', 'Methylphenidate Blocks Effort-Induced Depletion of Regulatory Control in Healthy Volunteers', 'Methylphenidate Blocks Effort-Induced Depletion of Regulatory Control in Healthy Volunteers', 'Methylphenidate Blocks Effort-Induced Depletion of Regulatory Control in Healthy Volunteers', 'Methylphenidate Blocks Effort-Induced Depletion of Regulatory Control in Healthy Volunteers', 'Methylphenidate Blocks Effort-Induced Depletion of Regulatory Control in Healthy Volunteers', 'Methylphenidate Blocks Effort-Induced Depletion of Regulatory Control in Healthy Volunteers', 'Methylphenidate Blocks Effort-Induced Depletion of Regulatory Control in Healthy Volunteers', 'Methylphenidate Blocks Effort-Induced Depletion of Regulatory Control in Healthy Volunteers', 'Methylphenidate Blocks Effort-Induced Depletion of Regulatory Control in Healthy Volunteers', 'Methylphenidate Blocks Effort-Induced Depletion of Regulatory Control in Healthy Volunteers', 'Methylphenidate Blocks Effort-Induced Depletion of Regulatory Control in Healthy Volunteers', 'Methylphenidate Blocks Effort-Induced Depletion of Regulatory Control in Healthy Volunteers', 'Methylphenidate Blocks Effort-Induced Depletion of Regulatory Control in Healthy Volunteers', 'Methylphenidate Blocks Effort-Induced Depletion of Regulatory Control in Healthy Volunteers', 'Methylphenidate Blocks Effort-Induced Depletion of Regulatory Control in Healthy Volunteers', 'Methylphenidate Blocks Effort-Induced Depletion of Regulatory Control in Healthy Volunteers', 'Methylphenidate Blocks Effort-Induced Depletion of Regulatory Control in Healthy Volunteers', 'Methylphenidate Blocks Effort-Induced Depletion of Regulatory Control in Healthy Volunteers', 'Methylphenidate Blocks Effort-Induced Depletion of Regulatory Control in Healthy Volunteers', 'Methylphenidate Blocks Effort-Induced Depletion of Regulatory Control in Healthy Volunteers']","['10.1177/0956797614526415', '10.1177/0956797614526415', '10.1177/0956797614526415', '10.1177/0956797614526415', '10.1177/0956797614526415', '10.1177/0956797614526415', '10.1177/0956797614526415', '10.1177/0956797614526415', '10.1177/0956797614526415', '10.1177/0956797614526415', '10.1177/0956797614526415', '10.1177/0956797614526415', '10.1177/0956797614526415', '10.1177/0956797614526415', '10.1177/0956797614526415', '10.1177/0956797614526415', '10.1177/0956797614526415', '10.1177/0956797614526415', '10.1177/0956797614526415', '10.1177/0956797614526415', '10.1177/0956797614526415', '10.1177/0956797614526415', '10.1177/0956797614526415', '10.1177/0956797614526415']",@sripada2014,gpt-5.4-mini,older_block,True,2,@sripada2014,,['@sripada2014'],"The abstract identifies Sripada et al. as the source of the replicated ego-depletion protocol; other cited works are presented as background or meta-analytic context, not as findings this paper re-tests.",same as old
10.1371/journal.pone.0165665,Next-Generation Sequencing and In Vitro Expression Study of ADAMTS13 Single Nucleotide Variants in Deep Vein Thrombosis,10.1111/jth.12291,"Next‐generation sequencing study finds an excess of rare, coding single‐nucleotide variants of ADAMTS13 in patients with deep vein thrombosis",control,agrees_with_mo,"['Next-generation sequencing study finds an excess of rare, coding single-nucleotide variants of ADAMTS13 in patients with deep vein thrombosis']",['10.1111/jth.12291'],@lotta2013,gpt-5.6-luna,exact,True,0,,,[],"The paper explicitly retests the prior ADAMTS13 burden-test association, but the supplied text does not link that finding to one specific listed record, and the two replication studies are cohorts testing that same target.",declines
10.1016/j.ynirp.2023.100157,Machine learning classification of chronic traumatic brain injury using diffusion tensor imaging and NODDI: A replication and extension study,10.1089/neu.2016.4526,Detection of Mild Traumatic Brain Injury by Machine Learning Classification Using Resting State Functional Network Connectivity and Fractional Anisotropy,control,agrees_with_mo,['Detection of mild traumatic brain injury by machine learning classification using resting state functional network connectivity and fractional anisotropy'],['10.1089/neu.2016.4526'],@vergara2016,gpt-5.6-luna,exact,True,1,@vergara2016,,['@vergara2016'],"The paper explicitly re-tests its prior acute-TBI FA/SVM classification work, which matches Vergara et al. (2016); the other listed works are not identified as findings this study re-tests.",same as old
10.1186/1744-9081-6-1,"Owner reports of attention, activity, and impulsivity in dogs: a replication study",10.1016/j.applanim.2006.03.017,Measuring attention deficit and activity in dogs: A new application and validation of a human ADHD questionnaire,control,agrees_with_mo,['Measuring attention deficit and activity in dogs: a new application and validation of a human ADHD questionnaire'],['10.1016/j.applanim.2006.03.017'],@vas2006,gpt-5.4-mini,older_block,True,4,@vas2006,,['@vas2006'],"The abstract explicitly tests whether the prior dog-survey findings replicate, and the listed Vas et al. validation study is the uniquely fitting original; other cited works are background rather than findings this paper re-tests.",same as old
10.1111/j.1468-1331.2012.03879.x,Association of <scp>C</scp>hr17q25 with cerebral white matter hyperintensities and cognitive impairment: the <scp>J</scp>‐<scp>SHIPP</scp> study,10.1002/ana.22403,Genome‐wide association studies of cerebral white matter lesion burden,control,agrees_with_mo,['Genome-wide association studies of cerebral white matter lesion burden: the CHARGE consortium'],['10.1002/ana.22403'],@fornage2011,gpt-5.6-luna,exact,True,0,,,['@fornage2011'],"The abstract identifies a recent genome-wide association study as the finding being replicated, which matches Fornage et al.; it does not state that the other cited works are targets.",same as old
10.1371/journal.pone.0237829,Failure to modulate reward prediction errors in declarative learning with theta (6 Hz) frequency transcranial alternating current stimulation,10.1371/journal.pone.0189212,Signed reward prediction errors drive declarative learning,control,agrees_with_mo,['Signed reward prediction errors drive declarative learning'],['10.1371/journal.pone.0189212'],@loof2018,gpt-5.6-luna,exact,True,4,@loof2018,,['@loof2018'],"The abstract explicitly identifies the previous signed-RPE declarative-learning finding as replicated, matching De Loof et al. (2018); the other cited works provide background or theoretical context rather than being described as findings this paper re-tests.",same as old
10.3389/fpsyg.2021.711173,A Multilevel Person-Centered Examination of Teachers' Workplace Experiences: Replication and Extension With Links to Instructional Support and Achievement,10.3389/fpsyg.2020.00626,A Multilevel Person-Centered Examination of Teachers’ Workplace Demands and Resources: Links With Work-Related Well-Being,control,agrees_with_mo,"[""A multilevel person-centered examination of teachers' workplace demands and resources: links with work-related well-being""]",['10.3389/fpsyg.2020.00626'],@collie2020,gpt-5.4-mini,older_block,True,1,@collie2020,,['@collie2020'],"The abstract identifies a replication and extension of an earlier study, and the reference list contains the closely matching Collie et al. (2020) study; the other cited works are not identified as re-tested targets.",same as old
10.1001/archneurol.2011.155,"Association and Expression Analyses With Single-Nucleotide Polymorphisms in &lt;emph type=""ital""&gt;TOMM40&lt;/emph&gt; in Alzheimer Disease",10.1038/tpj.2009.69,A TOMM40 variable-length polymorphism predicts the age of late-onset Alzheimer's disease,control,agrees_with_mo,"[""A TOMM40 variable-length polymorphism predicts the age of late-onset Alzheimer's disease"", ""A TOMM40 variable-length polymorphism predicts the age of late-onset Alzheimer's disease""]","['10.1038/tpj.2009.69', '10.1038/tpj.2009.69']",@roses2009,gpt-5.6-luna,exact,True,0,@roses2009,,['@roses2009'],"The abstract explicitly says it attempts to replicate the APOE 3-TOMM40 association, and the listed Roses et al. paper is the uniquely matching TOMM40 finding; the other cited works provide background or methods.",same as old
10.3389/fpsyg.2016.00396,Guessing versus Choosing an Upcoming Task,10.1016/j.actpsy.2015.05.006,Incorrect predictions reduce switch costs,control,agrees_with_mo,['Incorrect predictions reduce switch costs'],['10.1016/j.actpsy.2015.05.006'],@kleinsorge2015,gpt-5.6-luna,exact,True,0,@kleinsorge2015,,['@kleinsorge2015'],"The abstract explicitly identifies a replication of prior incorrect-guess switch-cost findings, which uniquely matches the listed Kleinsorge and Scheil paper; other cited works are not identified as targets.",same as old
10.1038/s41398-021-01558-6,"Association between cytomegalovirus infection, reduced gray matter volume, and resting-state functional hypoconnectivity in major depressive disorder: a replication and extension",10.1038/s41380-020-00932-y,A hidden menace? Cytomegalovirus infection is associated with reduced cortical gray matter volume in major depressive disorder,control,agrees_with_mo,['A hidden menace? Cytomegalovirus infection is associated with reduced cortical gray matter volume in major depressive disorder'],['10.1038/s41380-020-00932-y'],@zheng2020,gpt-5.6-luna,exact,True,4,@zheng2020,,['@zheng2020'],"The abstract explicitly says the study independently replicates prior GMV findings, and the listed Zheng et al. record on reduced cortical GMV in MDD is the sole listed record matching that target.",same as old
10.1371/journal.pbio.0030315,Lack of Support for the Association between GAD2 Polymorphisms and Severe Human Obesity,10.1371/journal.pbio.0000068,GAD2 on Chromosome 10p12 Is a Candidate Gene for Human Obesity,control,agrees_with_mo,['GAD2 on chromosome 10p12 is a candidate gene for human obesity'],['10.1371/journal.pbio.0000068'],@boutin2003,gpt-5.6-luna,exact,True,2,@boutin2003,,['@boutin2003'],"The paper explicitly says it attempted to replicate the GAD2-obesity association, which matches Boutin et al. (2003); other cited works provide background or methods rather than findings this paper re-tests.",same as old
10.1093/scan/nsae088,"Investigating trajectories linking social cognitive capacity, bias, and social isolation using computational modeling",10.1016/j.jrp.2021.104103,"Owner of a lonely mind? Social cognitive capacity is associated with objective, but not perceived social isolation in healthy individuals",control,agrees_with_mo,"['Owner of a lonely mind? Social cognitive capacity is associated with objective, but not perceived social isolation in healthy individuals']",['10.1016/j.jrp.2021.104103'],@okruszek2021,gpt-5.6-luna,exact,True,1,@okruszek2021,,['@okruszek2021'],The abstract identifies the earlier social-isolation and social-cognition finding as what was replicated; the other cited works are presented as context or methods rather than as findings re-tested.,same as old
10.1080/19439342.2019.1684343,"Mobile money, risk sharing, and transaction costs: a replication study of evidence from Kenya’s mobile money revolution",10.1257/aer.104.1.183,Risk Sharing and Transactions Costs: Evidence from Kenya's Mobile Money Revolution,control,agrees_with_mo,"[""Risk Sharing and Transactions Costs: Evidence from Kenya's Mobile Money Revolution""]",['10.1257/aer.104.1.183'],@jack2013,gpt-5.4-mini,exact,True,0,@jack2013,,['@jack2013'],The abstract explicitly says it re-examines Jack and Suri’s paper; the other listed works are not identified as findings this paper re-tests.,same as old
10.1176/ajp.154.4.551,Reduced morbidity after gradual discontinuation of lithium treatment for bipolar I and II disorders: a replication study,10.1001/archpsyc.1993.01820180046005,Outcome After Rapid vs Gradual Discontinuation of Lithium Treatment in Bipolar Disorders,control,agrees_with_mo,['Outcome after rapid vs gradual discontinuation of lithium treatment in bipolar mood disorders'],['10.1001/archpsyc.1993.01820180046005'],@faedda1993,gpt-5.4-mini,exact,True,1,@faedda1993,,[],"The abstract identifies a finding being verified but does not connect it to a specific cited study, and multiple listed references concern lithium discontinuation.",declines
10.1136/jmg.35.12.1034,The butyrylcholinesterase K variant and susceptibility to Alzheimer's disease.,10.1093/hmg/6.11.1933,Synergy Between the Genes for Butyrylcholinesterase K Variant and Apolipoprotein E4 in Late-Onset Confirmed Alzheimer's Disease,control,agrees_with_mo,"[""Synergy between the genes for butyrylcholinesterase K variant and apolipoprotein E4 in late-onset confirmed Alzheimer's disease""]",['10.1093/hmg/6.11.1933'],@lehmann1997,gpt-5.6-luna,exact,True,0,@lehmann1997,,['@lehmann1997'],"The abstract explicitly says the paper attempted to replicate the ApoE–BCHE-K association, which matches the listed Lehmann et al. report; other listed works are not identified as the finding being re-tested.",same as old
10.1007/s00439-011-0972-2,Identification of QTL genes for BMD variation using both linkage and gene-based association approaches,10.1359/jbmr.061015,Large-Scale Genome-Wide Linkage Analysis for Loci Linked to BMD at Different Skeletal Sites in Extreme Selected Sibships,control,agrees_with_mo,"['Largescale genome-wide linkage analysis for loci linked to BMD at different skeletal sites in extreme selected sibships', 'Largescale genome-wide linkage analysis for loci linked to BMD at different skeletal sites in extreme selected sibships', 'Largescale genome-wide linkage analysis for loci linked to BMD at different skeletal sites in extreme selected sibships', 'Largescale genome-wide linkage analysis for loci linked to BMD at different skeletal sites in extreme selected sibships']","['10.1359/jbmr.061015', '10.1359/jbmr.061015', '10.1359/jbmr.061015', '10.1359/jbmr.061015']",@hsu2006,gpt-5.6-luna,exact,True,1,,,['@hsu2006'],"The paper explicitly re-tests the four QTL from the prior Northern Chinese linkage study, which matches Hsu et al. (2006); the other cited works are background or methods references rather than findings this paper says it re-tests.",same as old
10.3109/14659891.2014.980862,Psychometric properties of a single-item assessing drunkenness to identify hazardous drinking: a replication study,10.3109/00952990.2013.810745,Validating the ability of a single-item assessing drunkenness to detect hazardous drinking,control,agrees_with_mo,['Validating the ability of a single-item assessing drunkenness to detect hazardous drinking'],['10.3109/00952990.2013.810745'],@barry2013_2,gpt-5.4-mini,older_block,True,1,@barry2013_2,,['@barry2013_2'],"The abstract says it replicates prior validation of a drunkenness item, uniquely matching Barry et al. (2013)’s listed validation paper rather than the other works cited for background.",same as old
10.1126/sciadv.aaz0652,The limits of human predictions of recidivism,10.1126/sciadv.aao5580,"The accuracy, fairness, and limits of predicting recidivism",control,agrees_with_mo,"['The accuracy, fairness, and limits of predicting recidivism']",['10.1126/sciadv.aao5580'],@dressel2018,gpt-5.6-luna,exact,True,0,@dressel2018,,['@dressel2018'],The abstract explicitly identifies Dressel and Farid's experiment as the replication target; the other cited works are not identified as findings re-tested here.,same as old
10.1177/0886260518814267,Does Gottman’s Marital Communication Conceptualization Inform Teen Dating Violence? Communication Skill Deficits Analyzed Across Three Samples of Diverse Adolescents,10.1007/s10896-010-9305-9,Self-Reported Communication Variables and Dating Violence: Using Gottman’s Marital Communication Conceptualization,control,agrees_with_mo,"[""Self-reported communication variables and dating violence: Using Gottman's marital communication conceptualization""]",['10.1007/s10896-010-9305-9'],@cornelius2010,gpt-5.6-luna,exact,True,0,@cornelius2010,,['@cornelius2010'],The paper explicitly says it replicates the preliminary study whose description matches Cornelius et al. (2010); the other listed works provide background or measures rather than findings this paper re-tests.,same as old
10.1097/opx.0b013e318188891b,Clinical Value of the VMI Supplemental Tests: A Modified Replication Study,10.1097/00006324-200304000-00009,Clinical Value of the Beery Visual-Motor Integration Supplemental Tests of Visual Perception and Motor Coordination,control,agrees_with_mo,['Clinical value of the Beery visual-motor integration supplemental tests of visual perception and motor coordination'],['10.1097/00006324-200304000-00009'],@kulp2003,gpt-5.6-luna,exact,True,0,@kulp2003,,['@kulp2003'],The abstract explicitly identifies Kulp and Sortor's study as the replication target; the other listed works are not stated to have their findings re-tested.,same as old
10.1371/journal.pone.0287837,Did people really drink bleach to prevent COVID-19? A guide for protecting survey data against problematic respondents,10.15585/mmwr.mm6923e2,"Knowledge and Practices Regarding Safe Household Cleaning and Disinfection for COVID-19 Prevention — United States, May 2020",control,agrees_with_mo,['Knowledge and practices regarding safe household cleaning and disinfection for COVID-19 prevention-United States'],['10.15585/mmwr.mm6923e2'],@gharpure2020,gpt-5.6-luna,exact,True,1,@gharpure2020,,['@gharpure2020'],"The abstract explicitly says it attempts to replicate CDC findings about ingesting household cleaners, which matches the listed Gharpure CDC survey; the other cited works are background or concern different findings.",same as old
10.1177/026765838900500103,Parameters in L2 learning: Flynn revisited,10.1111/j.1467-1770.1968.tb01311.x,Contrast and Construction in a Parameter‐Setting Model of L2 Acquisition,control,agrees_with_mo,['Contrast and construction in a Parameter-Setting model of L2 acquisition'],['10.1111/j.1467-1770.1968.tb01311.x'],@flynn1987,gpt-5.6-luna,exact,True,0,,,['@flynn1987'],The paper explicitly identifies Flynn (1987b) as the work whose methodology and hypotheses it replicates; other cited works are discussed as background or theoretical explanations rather than re-tested.,same as old
10.1044/2018_aja-18-0082,A Follow-Up Clinical Trial Evaluating the Consumer-Decides Service Delivery Model,10.1044/2017_aja-16-0111,The Effects of Service-Delivery Model and Purchase Price on Hearing-Aid Outcomes in Older Adults: A Randomized Double-Blind Placebo-Controlled Clinical Trial,control,agrees_with_mo,['The effects of service-delivery model and purchase price on hearing-aid outcomes in older adults: A randomized double-blind placebo-controlled clinical trial'],['10.1044/2017_aja-16-0111'],@humes2017,gpt-5.6-luna,exact,True,1,@humes2017,,['@humes2017'],"The paper explicitly re-tests the prior consumer-decides clinical trial, which matches the listed Humes et al. (2017) trial; the other cited works are not identified as findings this paper re-tests.",same as old
10.1523/eneuro.0430-21.2022,Custom-Built Operant Conditioning Setup for Calcium Imaging and Cognitive Testing in Freely Moving Mice,10.1523/eneuro.0045-21.2021,"Unique Effects of Social Defeat Stress in Adolescent Male Mice on the Netrin-1/DCC Pathway, Prefrontal Cortex Dopamine and Cognition",control,agrees_with_mo,"['Unique effects of social defeat stress in adolescent male mice on the Netrin-1/DCC pathway, prefrontal cortex dopamine and cognition (Social stress in adolescent vs. adult male mice)']",['10.1523/eneuro.0045-21.2021'],@vassilev2021,gpt-5.6-luna,exact,True,0,@vassilev2021,,['@vassilev2021'],"The abstract explicitly identifies the adolescent social-defeat and adult Go/No-Go finding as replicated, matching Vassilev et al. (2021); the other cited works are not identified as findings re-tested here.",same as old
